	Genes	Counts	log2_value
14767	AT3G42570	4	2.0
14768	AT3G42628	1	0.0
14769	AT3G42630	545	9.090112419664289
14770	AT3G42640	804	9.651051691178928
14771	AT3G42660	20	4.321928094887363
14772	AT3G42670	292	8.189824558880018
14773	AT3G42723	1	0.0
14774	AT3G42725	1	0.0
14775	AT3G42770	1	0.0
14776	AT3G42780	1	0.0
14777	AT3G42786	1	0.0
14778	AT3G42790	1822	10.831307243802051
14779	AT3G42800	10	3.321928094887362
14780	AT3G42830	1	0.0
14781	AT3G42850	9	3.169925001442312
14782	AT3G42860	25	4.643856189774724
14783	AT3G42870	1	0.0
14784	AT3G42880	1	0.0
14785	AT3G42940	1	0.0
14786	AT3G42950	108	6.754887502163468
14787	AT3G42960	1	0.0
14788	AT3G42990	1	0.0
14789	AT3G42995	1	0.0
14790	AT3G43083	1	0.0
14791	AT3G43110	1	0.0
14792	AT3G43120	1	0.0
14793	AT3G43148	1	0.0
14794	AT3G43150	1	0.0
14795	AT3G43153	1	0.0
14796	AT3G43160	1	0.0
14797	AT3G43170	1	0.0
14798	AT3G43180	1	0.0
14799	AT3G43190	2	1.0
14800	AT3G43210	88	6.459431618637297
14801	AT3G43220	1003	9.970105890612182
14802	AT3G43230	1360	10.409390936137703
14803	AT3G43240	635	9.310612781659529
14804	AT3G43250	1	0.0
14805	AT3G43260	1	0.0
14806	AT3G43270	344	8.426264754702098
14807	AT3G43280	1	0.0
14808	AT3G43290	1	0.0
14809	AT3G43291	1	0.0
14810	AT3G43300	3468	11.759888183221834
14811	AT3G43340	1	0.0
14812	AT3G43400	11	3.4594316186372973
14813	AT3G43410	1	0.0
14814	AT3G43415	1	0.0
14815	AT3G43420	1	0.0
14816	AT3G43430	17	4.087462841250339
14817	AT3G43432	1	0.0
14818	AT3G43440	265	8.049848549450562
14819	AT3G43470	1	0.0
14820	AT3G43480	1	0.0
14821	AT3G43490	1	0.0
14822	AT3G43500	1	0.0
14823	AT3G43503	1	0.0
14824	AT3G43505	1	0.0
14825	AT3G43520	955	9.899356922923111
14826	AT3G43540	891	9.799281621521923
14827	AT3G43550	1	0.0
14828	AT3G43570	1	0.0
14829	AT3G43572	1	0.0
14830	AT3G43574	1	0.0
14831	AT3G43580	7	2.807354922057604
14832	AT3G43583	1	0.0
14833	AT3G43590	547	9.095397022792557
14834	AT3G43600	320	8.321928094887362
14835	AT3G43610	352	8.459431618637296
14836	AT3G43630	1	0.0
14837	AT3G43645	1	0.0
14838	AT3G43660	1	0.0
14839	AT3G43670	1296	10.339850002884624
14840	AT3G43682	1	0.0
14841	AT3G43700	211	7.721099188707186
14842	AT3G43710	1	0.0
14843	AT3G43720	195	7.60733031374961
14844	AT3G43740	403	8.654636028527968
14845	AT3G43750	1	0.0
14846	AT3G43790	70	6.129283016944966
14847	AT3G43800	275	8.103287808412022
14848	AT3G43810	437	8.7714894695006
14849	AT3G43833	1	0.0
14850	AT3G43837	1	0.0
14851	AT3G43840	1	0.0
14852	AT3G43850	240	7.906890595608519
14853	AT3G43860	1	0.0
14854	AT3G43870	1	0.0
14855	AT3G43880	1	0.0
14856	AT3G43890	1	0.0
14857	AT3G43910	1	0.0
14858	AT3G43920	242	7.918863237274595
14859	AT3G43930	2	1.0
14860	AT3G43940	1	0.0
14861	AT3G43950	1	0.0
14862	AT3G43960	25	4.643856189774724
14863	AT3G43970	1	0.0
14864	AT3G43980	190	7.569855608330948
14865	AT3G43990	1	0.0
14866	AT3G44006	1	0.0
14867	AT3G44010	942	9.879583249612784
14868	AT3G44020	258	8.011227255423254
14869	AT3G44050	5	2.321928094887362
14870	AT3G44060	1	0.0
14871	AT3G44070	1	0.0
14872	AT3G44080	1	0.0
14873	AT3G44090	1	0.0
14874	AT3G44100	511	8.997179480937621
14875	AT3G44110	5650	12.464035152189913
14876	AT3G44115	1	0.0
14877	AT3G44120	16	4.0
14878	AT3G44130	1	0.0
14879	AT3G44140	1	0.0
14880	AT3G44150	222	7.794415866350106
14881	AT3G44160	186	7.539158811108031
14882	AT3G44170	1	0.0
14883	AT3G44180	1	0.0
14884	AT3G44190	422	8.721099188707186
14885	AT3G44200	561	9.131856960608793
14886	AT3G44210	1	0.0
14887	AT3G44220	11	3.4594316186372973
14888	AT3G44230	1	0.0
14889	AT3G44235	1	0.0
14890	AT3G44240	1	0.0
14891	AT3G44250	1	0.0
14892	AT3G44260	576	9.169925001442312
14893	AT3G44261	1	0.0
14894	AT3G44265	2	1.0
14895	AT3G44280	128	7.0
14896	AT3G44290	1	0.0
14897	AT3G44300	145	7.1799090900149345
14898	AT3G44310	7039	12.781154770695863
14899	AT3G44320	75	6.22881869049588
14900	AT3G44326	2	1.0
14901	AT3G44330	877	9.776433032444732
14902	AT3G44340	1043	10.026523442519766
14903	AT3G44350	11	3.4594316186372973
14904	AT3G44370	216	7.754887502163468
14905	AT3G44380	130	7.022367813028454
14906	AT3G44400	169	7.400879436282184
14907	AT3G44405	1	0.0
14908	AT3G44428	1	0.0
14909	AT3G44430	162	7.339850002884624
14910	AT3G44435	13	3.700439718141092
14911	AT3G44440	9	3.169925001442312
14912	AT3G44450	2	1.0
14913	AT3G44460	1	0.0
14914	AT3G44480	995	9.958552715431011
14915	AT3G44485	1	0.0
14916	AT3G44490	1	0.0
14917	AT3G44510	1	0.0
14918	AT3G44530	331	8.370687406807217
14919	AT3G44540	1	0.0
14920	AT3G44550	1	0.0
14921	AT3G44555	1	0.0
14922	AT3G44560	1	0.0
14923	AT3G44570	14	3.807354922057604
14924	AT3G44580	4	2.0
14925	AT3G44590	132	7.044394119358453
14926	AT3G44600	778	9.603626344986193
14927	AT3G44610	126	6.977279923499917
14928	AT3G44620	284	8.149747119504681
14929	AT3G44630	993	9.955649907528374
14930	AT3G44635	1	0.0
14931	AT3G44660	1	0.0
14932	AT3G44665	1	0.0
14933	AT3G44670	1063	10.053925881531105
14934	AT3G44680	407	8.668884984266247
14935	AT3G44690	64	6.0
14936	AT3G44695	5	2.321928094887362
14937	AT3G44700	6	2.584962500721156
14938	AT3G44703	1	0.0
14939	AT3G44704	1	0.0
14940	AT3G44710	1	0.0
14941	AT3G44713	14	3.807354922057604
14942	AT3G44716	5	2.321928094887362
14943	AT3G44718	1	0.0
14944	AT3G44720	180	7.491853096329675
14945	AT3G44730	18	4.169925001442312
14946	AT3G44735	30	4.906890595608519
14947	AT3G44740	84	6.392317422778761
14948	AT3G44750	520	9.022367813028454
14949	AT3G44753	1	0.0
14950	AT3G44755	1	0.0
14951	AT3G44760	1	0.0
14952	AT3G44763	1	0.0
14953	AT3G44766	1	0.0
14954	AT3G44769	1	0.0
14955	AT3G44770	4	2.0
14956	AT3G44780	1	0.0
14957	AT3G44785	1	0.0
14958	AT3G44790	4	2.0
14959	AT3G44800	1	0.0
14960	AT3G44805	2	1.0
14961	AT3G44810	1	0.0
14962	AT3G44820	147	7.199672344836364
14963	AT3G44830	1	0.0
14964	AT3G44840	1	0.0
14965	AT3G44850	172	7.426264754702098
14966	AT3G44860	2	1.0
14967	AT3G44870	1	0.0
14968	AT3G44880	3095	11.595723694101627
14969	AT3G44890	1549	10.597121428789569
14970	AT3G44900	6	2.584962500721156
14971	AT3G44910	1	0.0
14972	AT3G44920	1	0.0
14973	AT3G44930	1	0.0
14974	AT3G44935	1	0.0
14975	AT3G44940	17	4.087462841250339
14976	AT3G44950	1	0.0
14977	AT3G44960	1	0.0
14978	AT3G44970	8	3.0
14979	AT3G44980	2	1.0
14980	AT3G44990	11	3.4594316186372973
14981	AT3G45000	1	0.0
14982	AT3G45010	668	9.383704292474052
14983	AT3G45020	62	5.954196310386875
14984	AT3G45030	1185	10.210671343785622
14985	AT3G45040	706	9.46352437327118
14986	AT3G45050	218	7.768184324776926
14987	AT3G45060	52	5.700439718141092
14988	AT3G45070	1	0.0
14989	AT3G45080	1	0.0
14990	AT3G45090	122	6.930737337562887
14991	AT3G45093	1	0.0
14992	AT3G45100	685	9.419960177847889
14993	AT3G45110	1	0.0
14994	AT3G45130	1	0.0
14995	AT3G45140	218	7.768184324776926
14996	AT3G45150	1	0.0
14997	AT3G45160	316	8.303780748177102
14998	AT3G45170	1	0.0
14999	AT3G45180	1	0.0
15000	AT3G45190	1463	10.514714054138487
15001	AT3G45200	1	0.0
15002	AT3G45210	100	6.643856189774724
15003	AT3G45220	1	0.0
15004	AT3G45230	61	5.930737337562887
15005	AT3G45240	780	9.60733031374961
15006	AT3G45243	1	0.0
15007	AT3G45245	1	0.0
15008	AT3G45248	1	0.0
15009	AT3G45252	1	0.0
15010	AT3G45260	1057	10.045759661382682
15011	AT3G45275	1	0.0
15012	AT3G45280	5	2.321928094887362
15013	AT3G45285	1	0.0
15014	AT3G45290	4395	12.101647450030766
15015	AT3G45300	10919	13.414553114827143
15016	AT3G45310	555	9.116343961237469
15017	AT3G45320	1	0.0
15018	AT3G45330	3	1.584962500721156
15019	AT3G45390	34	5.087462841250339
15020	AT3G45400	65	6.022367813028454
15021	AT3G45410	9	3.169925001442312
15022	AT3G45420	95	6.569855608330948
15023	AT3G45430	6	2.584962500721156
15024	AT3G45440	6	2.584962500721156
15025	AT3G45443	113	6.820178962415188
15026	AT3G45450	1	0.0
15027	AT3G45460	1	0.0
15028	AT3G45470	1	0.0
15029	AT3G45480	1	0.0
15030	AT3G45490	1	0.0
15031	AT3G45500	1	0.0
15032	AT3G45510	1	0.0
15033	AT3G45525	1	0.0
15034	AT3G45530	1	0.0
15035	AT3G45540	1	0.0
15036	AT3G45555	1	0.0
15037	AT3G45560	1	0.0
15038	AT3G45570	1	0.0
15039	AT3G45577	1	0.0
15040	AT3G45580	1	0.0
15041	AT3G45590	121	6.918863237274595
15042	AT3G45600	133	7.05528243550119
15043	AT3G45610	13	3.700439718141092
15044	AT3G45620	721	9.493855449240822
15045	AT3G45630	1052	10.038918989292302
15046	AT3G45640	2442	11.253847484987404
15047	AT3G45645	11	3.4594316186372973
15048	AT3G45650	133	7.05528243550119
15049	AT3G45660	9	3.169925001442312
15050	AT3G45670	1	0.0
15051	AT3G45673	1	0.0
15052	AT3G45680	1	0.0
15053	AT3G45690	1	0.0
15054	AT3G45700	1	0.0
15055	AT3G45710	6	2.584962500721156
15056	AT3G45720	3	1.584962500721156
15057	AT3G45730	709	9.469641817239516
15058	AT3G45740	430	8.74819284958946
15059	AT3G45750	270	8.076815597050832
15060	AT3G45760	1	0.0
15061	AT3G45770	1879	10.875749351420055
15062	AT3G45780	2725	11.41204051455165
15063	AT3G45790	1	0.0
15064	AT3G45800	1	0.0
15065	AT3G45810	1	0.0
15066	AT3G45820	7	2.807354922057604
15067	AT3G45830	1115	10.122827994807666
15068	AT3G45840	1	0.0
15069	AT3G45850	415	8.696967526234287
15070	AT3G45851	1	0.0
15071	AT3G45860	1650	10.688250309133178
15072	AT3G45870	18	4.169925001442312
15073	AT3G45880	40	5.321928094887363
15074	AT3G45890	217	7.7615512324444795
15075	AT3G45900	337	8.396604781181859
15076	AT3G45910	1	0.0
15077	AT3G45920	1	0.0
15078	AT3G45930	65	6.022367813028454
15079	AT3G45940	31	4.954196310386875
15080	AT3G45950	5	2.321928094887362
15081	AT3G45960	2	1.0
15082	AT3G45970	338	8.400879436282183
15083	AT3G45980	1282	10.324180546618742
15084	AT3G45990	1	0.0
15085	AT3G46000	1305	10.349834091457247
15086	AT3G46010	1225	10.258566033889933
15087	AT3G46020	65	6.022367813028454
15088	AT3G46030	1156	10.174925682500678
15089	AT3G46040	1341	10.389093521904474
15090	AT3G46050	1	0.0
15091	AT3G46060	1519	10.568906154502084
15092	AT3G46070	1	0.0
