	Unnamed: 0	Unnamed: 0.1	Unnamed: 0.1.1	Genes	SRR3383640	SRR3383821	SRR3383782	SRR6283145	SRR3383641	SRR3383783	SRR3383822	SRR6283144	zero-counter
5559	5706	5962	7277	AT2G02120	0.0	0.0	2.0	0.0	1.0	0.0	0.0	1.0	5
5665	5820	6085	7444	AT2G03830	1.0	0.0	0.0	0.0	0.0	2.0	0.0	1.0	5
5682	5837	6105	7486	AT2G04190	0.0	1.0	0.0	1.584962500721156	0.0	0.0	0.0	1.584962500721156	5
5695	5850	6118	7501	AT2G04395	0.0	1.0	1.0	0.0	0.0	2.0	0.0	0.0	5
5700	5855	6123	7507	AT2G04440	0.0	0.0	1.584962500721156	0.0	1.0	0.0	0.0	1.0	5
5743	5899	6172	7577	AT2G05370	0.0	0.0	1.0	0.0	1.0	0.0	0.0	1.0	5
5746	5902	6176	7584	AT2G05510	0.0	0.0	0.0	3.169925001442312	0.0	0.0	1.0	3.700439718141092	5
5792	5952	6232	7696	AT2G07643	0.0	2.0	0.0	0.0	1.0	0.0	0.0	1.584962500721156	5
5794	5954	6235	7703	AT2G07656	1.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	5
5795	5955	6237	7705	AT2G07659	1.0	1.0	0.0	0.0	0.0	0.0	0.0	2.3219280948873617	5
5800	5960	6242	7716	AT2G07676	0.0	1.0	0.0	1.584962500721156	0.0	0.0	0.0	1.0	5
5804	5966	6249	7736	AT2G07714	0.0	1.0	0.0	0.0	1.0	0.0	1.0	0.0	5
5806	5968	6251	7741	AT2G07722	0.0	1.0	0.0	2.0	0.0	0.0	0.0	2.0	5
5816	5979	6263	7769	AT2G07806	0.0	0.0	1.0	1.0	0.0	0.0	0.0	1.0	5
5974	6151	6448	8105	AT2G16570	1.0	0.0	0.0	0.0	1.584962500721156	0.0	0.0	2.0	5
6071	6248	6547	8230	AT2G17770	1.0	0.0	1.584962500721156	0.0	0.0	1.0	0.0	0.0	5
6081	6258	6557	8244	AT2G17890	0.0	0.0	0.0	1.0	1.0	0.0	0.0	1.584962500721156	5
6127	6306	6608	8310	AT2G18500	1.0	0.0	0.0	1.584962500721156	0.0	0.0	0.0	2.0	5
6163	6343	6648	8360	AT2G18980	0.0	0.0	1.584962500721156	1.0	0.0	1.0	0.0	0.0	5
6224	6407	6713	8454	AT2G19920	1.0	0.0	1.0	0.0	2.0	0.0	0.0	0.0	5
6233	6417	6724	8465	AT2G20030	0.0	0.0	0.0	0.0	1.0	0.0	1.0	1.584962500721156	5
6298	6485	6794	8552	AT2G20784	0.0	0.0	0.0	1.584962500721156	1.584962500721156	0.0	1.0	0.0	5
6304	6491	6800	8559	AT2G20825	0.0	1.0	2.0	0.0	0.0	0.0	1.0	0.0	5
6326	6513	6824	8589	AT2G21100	1.584962500721156	0.0	1.0	0.0	1.0	0.0	0.0	0.0	5
6339	6526	6837	8604	AT2G21220	1.0	0.0	3.169925001442312	0.0	1.0	0.0	0.0	0.0	5
6357	6545	6856	8625	AT2G21420	0.0	0.0	1.584962500721156	2.0	0.0	0.0	0.0	1.0	5
6360	6548	6859	8628	AT2G21450	1.0	1.584962500721156	0.0	1.0	0.0	0.0	0.0	0.0	5
6393	6581	6892	8674	AT2G21900	2.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	5
6394	6582	6894	8677	AT2G21930	0.0	0.0	2.0	0.0	2.0	1.0	0.0	0.0	5
6455	6646	6961	8759	AT2G22760	0.0	1.0	0.0	0.0	1.584962500721156	0.0	1.584962500721156	0.0	5
6480	6673	6988	8792	AT2G23050	0.0	0.0	1.0	1.0	0.0	0.0	1.0	0.0	5
6485	6678	6993	8799	AT2G23096	1.584962500721156	0.0	0.0	1.0	0.0	0.0	1.0	0.0	5
6512	6706	7026	8844	AT2G23530	0.0	1.0	0.0	1.0	0.0	0.0	1.0	0.0	5
6549	6743	7063	8893	AT2G24070	2.0	1.584962500721156	1.0	0.0	0.0	0.0	0.0	0.0	5
6568	6762	7083	8916	AT2G24285	0.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	5
6580	6776	7098	8933	AT2G24450	1.0	0.0	0.0	2.584962500721156	0.0	1.0	0.0	0.0	5
6593	6790	7112	8950	AT2G24610	1.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	5
6599	6796	7119	8961	AT2G24681	0.0	1.584962500721156	1.584962500721156	0.0	0.0	0.0	0.0	1.0	5
6662	6863	7195	9058	AT2G25600	0.0	1.0	0.0	2.3219280948873617	0.0	1.0	0.0	0.0	5
6672	6873	7205	9069	AT2G25685	0.0	0.0	0.0	1.0	1.0	1.584962500721156	0.0	0.0	5
6742	6944	7279	9154	AT2G26520	1.584962500721156	0.0	1.584962500721156	0.0	1.0	0.0	0.0	0.0	5
6762	6965	7300	9177	AT2G26750	0.0	1.0	0.0	2.0	0.0	0.0	0.0	3.169925001442312	5
6794	6997	7334	9217	AT2G27120	1.0	0.0	1.584962500721156	0.0	0.0	0.0	1.0	0.0	5
6806	7011	7348	9235	AT2G27280	0.0	1.584962500721156	1.0	0.0	0.0	0.0	1.0	0.0	5
6811	7016	7353	9240	AT2G27313	0.0	3.0	0.0	0.0	0.0	0.0	1.584962500721156	1.0	5
6923	7132	7475	9393	AT2G28780	1.584962500721156	1.0	0.0	0.0	0.0	1.584962500721156	0.0	0.0	5
6938	7148	7491	9411	AT2G28960	0.0	0.0	0.0	2.0	1.0	0.0	0.0	1.0	5
6939	7149	7492	9412	AT2G28970	0.0	0.0	1.584962500721156	0.0	0.0	1.0	0.0	2.807354922057604	5
6968	7181	7525	9449	AT2G29380	0.0	0.0	1.0	1.0	0.0	1.0	0.0	0.0	5
7006	7220	7566	9509	AT2G29920	0.0	1.0	0.0	0.0	1.584962500721156	1.584962500721156	0.0	0.0	5
7042	7257	7604	9555	AT2G30380	0.0	0.0	1.584962500721156	0.0	0.0	1.0	1.0	0.0	5
7093	7311	7659	9617	AT2G30940	0.0	0.0	1.0	1.0	0.0	0.0	0.0	1.0	5
7142	7362	7711	9686	AT2G31500	0.0	0.0	1.0	0.0	1.0	0.0	0.0	1.0	5
7155	7375	7725	9702	AT2G31690	0.0	1.0	0.0	0.0	2.0	0.0	0.0	1.584962500721156	5
7335	7562	7918	9935	AT2G33796	0.0	0.0	1.0	0.0	1.584962500721156	0.0	1.0	0.0	5
7344	7571	7927	9944	AT2G33850	2.807354922057604	1.0	0.0	0.0	0.0	0.0	0.0	1.0	5
7349	7576	7932	9951	AT2G34000	0.0	0.0	0.0	1.0	0.0	0.0	1.584962500721156	1.0	5
7459	7691	8051	10093	AT2G35300	1.584962500721156	1.0	0.0	0.0	0.0	0.0	0.0	1.584962500721156	5
7577	7810	8175	10238	AT2G36660	0.0	0.0	1.0	0.0	1.0	0.0	0.0	1.0	5
7580	7813	8178	10241	AT2G36690	0.0	0.0	1.584962500721156	4.247927513443585	0.0	0.0	0.0	4.643856189774724	5
7603	7837	8202	10269	AT2G36920	0.0	0.0	1.0	0.0	0.0	1.0	1.0	0.0	5
7612	7847	8213	10281	AT2G37030	0.0	0.0	0.0	1.584962500721156	0.0	1.0	0.0	1.0	5
7631	7866	8232	10302	AT2G37210	1.0	0.0	2.0	0.0	2.584962500721156	0.0	0.0	0.0	5
7651	7886	8254	10325	AT2G37440	0.0	1.0	0.0	0.0	1.0	0.0	0.0	1.584962500721156	5
7678	7913	8281	10352	AT2G37700	0.0	1.0	0.0	1.0	0.0	0.0	0.0	1.0	5
7785	8022	8393	10478	AT2G38905	0.0	1.0	1.0	0.0	0.0	1.0	0.0	0.0	5
7989	8227	8602	10722	AT2G41105	1.0	0.0	0.0	1.0	2.0	0.0	0.0	0.0	5
8031	8271	8650	10780	AT2G41590	0.0	0.0	0.0	0.0	1.0	1.0	0.0	1.584962500721156	5
8073	8313	8693	10831	AT2G42060	0.0	0.0	0.0	2.0	0.0	1.0	0.0	1.0	5
8198	8440	8827	10982	AT2G43470	1.0	0.0	0.0	1.0	1.584962500721156	0.0	0.0	0.0	5
8308	8557	8948	11123	AT2G44790	0.0	1.0	0.0	6.569855608330947	0.0	0.0	0.0	6.442943495848727	5
8363	8614	9006	11187	AT2G45420	1.0	0.0	1.0	1.584962500721156	0.0	0.0	0.0	0.0	5
8444	8697	9089	11274	AT2G46300	1.0	0.0	2.807354922057604	0.0	0.0	0.0	1.0	0.0	5
8450	8703	9095	11282	AT2G46375	0.0	0.0	2.0	0.0	1.0	1.0	0.0	0.0	5
8522	8778	9176	11374	AT2G47200	1.0	2.3219280948873617	0.0	0.0	0.0	0.0	0.0	2.3219280948873617	5
8545	8801	9199	11400	AT2G47460	0.0	0.0	2.3219280948873617	0.0	1.0	2.0	0.0	0.0	5
8607	8864	9265	11470	AT2G48140	0.0	0.0	1.0	0.0	0.0	0.0	1.0	2.0	5
8633	8892	9295	11507	AT3G01311	0.0	0.0	0.0	1.0	0.0	0.0	1.0	1.0	5
8667	8927	9331	11553	AT3G01600	0.0	0.0	1.0	1.584962500721156	0.0	0.0	1.0	0.0	5
8766	9028	9436	11666	AT3G02645	0.0	0.0	2.0	1.584962500721156	1.0	0.0	0.0	0.0	5
8821	9085	9494	11730	AT3G03230	0.0	0.0	1.0	0.0	0.0	1.584962500721156	1.0	0.0	5
8825	9089	9499	11735	AT3G03272	0.0	1.584962500721156	1.584962500721156	0.0	1.584962500721156	0.0	0.0	0.0	5
8826	9090	9500	11737	AT3G03290	0.0	0.0	1.0	0.0	2.0	0.0	0.0	1.0	5
8839	9103	9513	11753	AT3G03430	0.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	5
8846	9110	9520	11760	AT3G03500	1.0	0.0	2.3219280948873617	0.0	0.0	1.0	0.0	0.0	5
8919	9187	9602	11859	AT3G04410	0.0	1.584962500721156	1.0	0.0	1.0	0.0	0.0	0.0	5
8944	9212	9629	11890	AT3G04700	0.0	0.0	1.0	0.0	1.0	0.0	0.0	1.584962500721156	5
9001	9269	9688	11955	AT3G05260	0.0	0.0	1.584962500721156	0.0	2.0	0.0	1.0	0.0	5
9005	9273	9692	11960	AT3G05310	0.0	1.0	0.0	0.0	1.0	0.0	1.0	0.0	5
9034	9302	9721	11994	AT3G05600	1.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	5
9093	9364	9785	12073	AT3G06220	2.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	5
9113	9384	9806	12096	AT3G06436	0.0	0.0	0.0	1.0	1.0	0.0	0.0	1.0	5
9160	9431	9854	12147	AT3G06895	0.0	0.0	0.0	2.0	0.0	1.0	1.584962500721156	0.0	5
9167	9438	9862	12155	AT3G06985	2.3219280948873617	0.0	1.584962500721156	0.0	1.0	0.0	0.0	0.0	5
9176	9447	9871	12165	AT3G07070	0.0	1.0	0.0	0.0	0.0	1.0	0.0	1.0	5
9194	9465	9890	12185	AT3G07260	0.0	0.0	1.0	1.584962500721156	0.0	1.584962500721156	0.0	0.0	5
9254	9525	9952	12254	AT3G07900	0.0	1.0	0.0	0.0	1.0	0.0	1.0	0.0	5
9297	9568	9997	12302	AT3G08810	0.0	1.0	2.0	0.0	0.0	1.0	0.0	0.0	5
9351	9623	10054	12366	AT3G09400	0.0	0.0	1.584962500721156	0.0	1.0	0.0	0.0	2.584962500721156	5
9480	9758	10199	12525	AT3G10845	0.0	0.0	2.584962500721156	1.584962500721156	0.0	1.584962500721156	0.0	0.0	5
9494	9772	10213	12543	AT3G10986	0.0	1.0	1.584962500721156	0.0	0.0	1.0	0.0	0.0	5
9509	9787	10228	12560	AT3G11160	1.0	0.0	0.0	0.0	1.584962500721156	0.0	0.0	1.0	5
9524	9804	10246	12584	AT3G11390	1.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	5
9530	9810	10252	12591	AT3G11430	1.584962500721156	0.0	0.0	0.0	0.0	1.0	1.0	0.0	5
9560	9840	10282	12622	AT3G11740	0.0	0.0	1.0	3.584962500721156	1.584962500721156	0.0	0.0	0.0	5
9573	9853	10295	12636	AT3G11860	0.0	1.0	1.0	0.0	1.584962500721156	0.0	0.0	0.0	5
9715	10000	10449	12811	AT3G13403	0.0	0.0	2.807354922057604	0.0	0.0	2.0	1.0	0.0	5
9755	10042	10492	12858	AT3G13760	0.0	0.0	0.0	2.0	1.0	0.0	0.0	1.0	5
9813	10100	10551	12926	AT3G14320	0.0	1.0	2.584962500721156	0.0	2.3219280948873617	0.0	0.0	0.0	5
9818	10105	10556	12932	AT3G14370	1.0	2.0	0.0	0.0	0.0	0.0	1.0	0.0	5
9821	10108	10559	12935	AT3G14395	0.0	0.0	6.169925001442312	0.0	1.0	4.321928094887364	0.0	0.0	5
9897	10184	10637	13025	AT3G15240	0.0	1.0	0.0	1.0	0.0	0.0	1.0	0.0	5
9981	10271	10731	13128	AT3G16120	1.584962500721156	0.0	0.0	2.807354922057604	0.0	0.0	0.0	2.3219280948873617	5
10009	10299	10762	13160	AT3G16430	0.0	1.0	1.0	0.0	1.0	0.0	0.0	0.0	5
10020	10310	10774	13180	AT3G16590	0.0	0.0	1.584962500721156	0.0	2.0	1.584962500721156	0.0	0.0	5
10111	10403	10872	13307	AT3G17720	0.0	1.0	0.0	0.0	1.584962500721156	1.0	0.0	0.0	5
10173	10466	10937	13380	AT3G18400	1.0	1.0	2.3219280948873617	0.0	0.0	0.0	0.0	0.0	5
10187	10480	10951	13398	AT3G18550	0.0	2.807354922057604	0.0	2.3219280948873617	0.0	0.0	0.0	2.584962500721156	5
10252	10549	11024	13482	AT3G19310	1.0	0.0	1.584962500721156	0.0	0.0	1.0	0.0	0.0	5
10324	10624	11103	13574	AT3G20140	0.0	2.0	0.0	0.0	2.0	0.0	2.3219280948873617	0.0	5
10343	10644	11125	13600	AT3G20380	1.0	1.584962500721156	0.0	0.0	0.0	1.0	0.0	0.0	5
10345	10646	11127	13602	AT3G20395	0.0	0.0	1.0	6.94251450533924	0.0	0.0	0.0	6.965784284662088	5
