	Unnamed: 0	Unnamed: 0.1	Unnamed: 0.1.1	Unnamed: 0.1.1.1	Unnamed: 0.1.1.1.1	Genes	SRR3383640	SRR3383821	SRR3383782	SRR6283145	SRR3383641	SRR3383783	SRR3383822	SRR6283144	zero-counter
15429	15727	16093	16554	17286	21335	AT5G03130	1.0	0.0	4.169925001442312	0.0	2.3219280948873617	2.807354922057604	2.3219280948873617	0.0	3
15477	15776	16142	16605	17337	21391	AT5G03590	0.0	0.0	2.584962500721156	0.0	2.807354922057604	1.0	1.0	1.0	3
15498	15797	16164	16628	17361	21419	AT5G03860	1.584962500721156	0.0	3.0	3.9068905956085187	1.584962500721156	0.0	0.0	3.807354922057604	3
15560	15861	16228	16693	17430	21501	AT5G04630	1.584962500721156	1.0	1.584962500721156	0.0	1.0	0.0	1.584962500721156	0.0	3
15622	15923	16290	16755	17496	21584	AT5G05390	3.0	0.0	2.0	0.0	1.0	1.0	2.3219280948873617	0.0	3
15646	15950	16317	16783	17525	21617	AT5G05675	1.0	0.0	0.0	2.807354922057604	0.0	1.0	1.0	3.0	3
15771	16077	16447	16914	17661	21776	AT5G07170	1.0	1.584962500721156	1.584962500721156	0.0	0.0	1.0	1.0	0.0	3
15772	16078	16448	16915	17662	21777	AT5G07175	2.0	0.0	2.0	0.0	1.0	1.0	1.0	0.0	3
15791	16099	16470	16942	17689	21814	AT5G07520	1.0	1.0	0.0	0.0	1.584962500721156	1.0	2.0	0.0	3
15800	16109	16480	16952	17700	21830	AT5G07650	1.0	2.0	2.584962500721156	0.0	2.3219280948873617	0.0	3.169925001442312	0.0	3
15916	16226	16597	17069	17819	21961	AT5G09280	0.0	1.0	2.0	1.584962500721156	2.0	0.0	0.0	2.0	3
15999	16311	16688	17163	17920	22074	AT5G10336	1.0	0.0	0.0	2.3219280948873617	2.3219280948873617	1.0	0.0	2.0	3
16090	16406	16786	17264	18021	22186	AT5G11416	0.0	0.0	2.0	1.0	1.0	1.0	0.0	1.584962500721156	3
16133	16449	16829	17307	18064	22234	AT5G11870	1.0	0.0	1.584962500721156	0.0	1.0	1.0	0.0	1.0	3
16140	16456	16836	17314	18071	22241	AT5G11940	3.0	1.584962500721156	1.0	0.0	1.584962500721156	0.0	2.807354922057604	0.0	3
16147	16463	16843	17321	18078	22250	AT5G12020	2.0	2.807354922057604	1.0	0.0	3.0	0.0	1.584962500721156	0.0	3
16316	16634	17019	17499	18263	22452	AT5G14330	2.584962500721156	1.584962500721156	2.3219280948873617	1.584962500721156	2.0	0.0	0.0	0.0	3
16379	16699	17085	17567	18337	22535	AT5G15130	1.0	1.0	0.0	0.0	1.0	0.0	1.584962500721156	2.0	3
16382	16702	17088	17571	18341	22540	AT5G15180	1.584962500721156	0.0	1.584962500721156	0.0	1.0	1.584962500721156	0.0	1.0	3
16401	16721	17108	17591	18362	22564	AT5G15420	1.0	0.0	1.584962500721156	1.0	1.0	1.0	0.0	0.0	3
16442	16762	17150	17633	18405	22613	AT5G15843	0.0	1.0	2.0	2.3219280948873617	2.0	0.0	0.0	3.169925001442312	3
16448	16768	17156	17639	18411	22619	AT5G15890	1.0	0.0	0.0	1.584962500721156	1.584962500721156	1.0	0.0	1.0	3
16508	16831	17220	17703	18476	22691	AT5G16580	0.0	1.0	1.0	0.0	1.0	1.0	1.0	0.0	3
16548	16871	17261	17745	18519	22737	AT5G17040	3.807354922057604	1.0	5.28540221886225	0.0	2.584962500721156	5.523561956057013	0.0	0.0	3
16605	16928	17321	17807	18583	22819	AT5G17800	0.0	2.0	2.0	1.584962500721156	0.0	2.3219280948873617	1.0	0.0	3
16608	16931	17324	17810	18587	22824	AT5G17847	1.0	0.0	1.584962500721156	2.0	1.0	1.0	0.0	0.0	3
16723	17047	17442	17932	18717	22963	AT5G19100	2.0	2.807354922057604	2.3219280948873617	0.0	2.807354922057604	0.0	3.4594316186372973	0.0	3
16724	17048	17443	17933	18718	22964	AT5G19110	0.0	2.584962500721156	3.0	0.0	2.807354922057604	0.0	2.0	1.584962500721156	3
16766	17090	17485	17976	18763	23015	AT5G19560	1.0	1.0	1.0	0.0	2.0	0.0	0.0	1.0	3
16793	17118	17513	18006	18795	23052	AT5G19880	2.807354922057604	1.0	1.584962500721156	0.0	2.0	0.0	3.0	0.0	3
16952	17279	17674	18174	18970	23253	AT5G22545	4.087462841250339	6.087462841250337	2.3219280948873617	0.0	5.491853096329675	0.0	5.0	0.0	3
17104	17431	17830	18333	19134	23453	AT5G24330	3.0	1.584962500721156	3.0	0.0	2.584962500721156	1.0	0.0	0.0	3
17217	17547	17948	18457	19263	23613	AT5G25920	1.584962500721156	0.0	2.0	0.0	2.584962500721156	1.0	1.584962500721156	0.0	3
17231	17561	17962	18471	19278	23640	AT5G26190	1.584962500721156	0.0	2.807354922057604	1.0	1.0	0.0	0.0	2.0	3
17246	17577	17979	18488	19299	23669	AT5G26660	1.584962500721156	0.0	3.0	1.0	1.0	0.0	1.0	0.0	3
17344	17676	18081	18591	19409	23815	AT5G27980	0.0	1.584962500721156	1.0	1.0	1.0	0.0	0.0	1.0	3
17361	17693	18098	18609	19428	23841	AT5G28345	0.0	1.584962500721156	1.0	0.0	2.3219280948873617	0.0	2.0	1.584962500721156	3
17415	17748	18154	18667	19490	23972	AT5G35375	0.0	0.0	1.584962500721156	1.584962500721156	1.0	1.0	0.0	1.0	3
17459	17792	18204	18718	19548	24059	AT5G36240	2.0	1.0	0.0	1.0	2.0	0.0	0.0	1.0	3
17510	17846	18261	18779	19614	24196	AT5G37715	1.0	1.0	1.0	2.584962500721156	0.0	0.0	0.0	3.584962500721156	3
17523	17860	18275	18795	19630	24223	AT5G37980	2.807354922057604	3.169925001442312	0.0	1.0	0.0	2.0	3.700439718141092	0.0	3
17526	17864	18280	18800	19635	24228	AT5G38030	0.0	2.3219280948873617	2.584962500721156	0.0	1.0	0.0	1.584962500721156	1.584962500721156	3
17531	17869	18285	18805	19641	24235	AT5G38100	2.584962500721156	0.0	2.807354922057604	1.0	2.0	2.3219280948873617	0.0	0.0	3
17533	17871	18287	18807	19643	24237	AT5G38120	0.0	3.700439718141092	5.643856189774724	0.0	3.169925001442312	2.584962500721156	4.169925001442312	0.0	3
17534	17872	18288	18808	19644	24238	AT5G38130	1.0	2.584962500721156	2.3219280948873617	0.0	2.0	0.0	2.584962500721156	0.0	3
17544	17882	18299	18819	19655	24256	AT5G38300	1.0	2.0	3.169925001442312	0.0	2.0	1.584962500721156	0.0	0.0	3
17547	17885	18302	18823	19659	24262	AT5G38344	1.0	1.584962500721156	1.0	0.0	1.584962500721156	0.0	1.584962500721156	0.0	3
17633	17976	18397	18926	19777	24433	AT5G39890	1.0	0.0	1.0	3.169925001442312	1.584962500721156	0.0	0.0	2.807354922057604	3
17663	18006	18429	18960	19813	24480	AT5G40350	2.0	1.584962500721156	3.169925001442312	0.0	3.4594316186372973	0.0	1.0	0.0	3
17687	18030	18453	18984	19840	24511	AT5G40630	1.0	2.807354922057604	2.0	0.0	1.0	0.0	1.0	0.0	3
17768	18114	18540	19073	19933	24627	AT5G41730	1.584962500721156	1.584962500721156	1.584962500721156	0.0	3.169925001442312	0.0	1.584962500721156	0.0	3
17893	18244	18673	19211	20074	24804	AT5G43240	0.0	1.584962500721156	2.584962500721156	1.0	0.0	1.584962500721156	0.0	1.0	3
18002	18356	18789	19333	20200	24959	AT5G44570	2.3219280948873617	2.0	2.3219280948873617	0.0	2.0	1.0	0.0	0.0	3
18028	18382	18815	19361	20228	24997	AT5G44900	0.0	2.3219280948873617	0.0	0.0	1.584962500721156	1.584962500721156	1.0	1.0	3
18074	18430	18863	19412	20281	25058	AT5G45455	2.807354922057604	2.3219280948873617	2.584962500721156	0.0	3.807354922057604	2.807354922057604	0.0	0.0	3
18087	18443	18876	19425	20294	25073	AT5G45580	2.3219280948873617	0.0	1.0	0.0	1.0	1.0	1.0	0.0	3
18116	18474	18908	19457	20326	25113	AT5G45960	0.0	2.584962500721156	2.3219280948873617	0.0	1.0	1.0	3.3219280948873617	0.0	3
18148	18507	18942	19492	20362	25158	AT5G46370	0.0	0.0	1.0	3.169925001442312	1.0	1.0	0.0	3.3219280948873617	3
18192	18552	18987	19538	20410	25211	AT5G46871	2.3219280948873617	2.0	4.087462841250339	0.0	2.807354922057604	2.0	0.0	0.0	3
18224	18584	19020	19573	20447	25266	AT5G47350	0.0	1.584962500721156	1.0	1.0	1.0	0.0	1.0	0.0	3
18242	18602	19038	19591	20465	25285	AT5G47530	1.0	1.584962500721156	1.584962500721156	0.0	0.0	1.0	0.0	1.0	3
18256	18616	19052	19606	20480	25300	AT5G47670	0.0	1.0	1.0	2.3219280948873617	2.584962500721156	0.0	1.0	0.0	3
18294	18654	19091	19646	20523	25350	AT5G48175	0.0	1.0	2.584962500721156	0.0	1.584962500721156	1.0	1.584962500721156	0.0	3
18428	18789	19228	19787	20666	25528	AT5G49780	2.0	1.0	1.584962500721156	2.3219280948873617	0.0	1.0	0.0	0.0	3
