	Unnamed: 0	Unnamed: 0.1	Unnamed: 0.1.1	Unnamed: 0.1.1.1	Genes	SRR3383640	SRR3383821	SRR3383782	SRR6283145	SRR3383641	SRR3383783	SRR3383822	SRR6283144	zero-counter
18417	18850	19398	20267	25044	AT5G45320	0.0	2.3219280948873617	3.0	1.0	0.0	2.0	0.0	0.0	4
18464	18898	19447	20316	25097	AT5G45810	1.584962500721156	2.0	0.0	0.0	1.584962500721156	0.0	1.584962500721156	0.0	4
18466	18900	19449	20318	25099	AT5G45830	0.0	2.807354922057604	0.0	3.584962500721156	0.0	0.0	3.169925001442312	5.930737337562888	4
18506	18941	19491	20361	25157	AT5G46360	0.0	0.0	1.584962500721156	0.0	2.0	1.0	0.0	1.0	4
18508	18943	19493	20363	25159	AT5G46380	0.0	1.0	1.584962500721156	1.0	1.0	0.0	0.0	0.0	4
18751	19189	19746	20625	25480	AT5G49310	1.0	1.584962500721156	0.0	0.0	1.0	2.0	0.0	0.0	4
18814	19255	19814	20694	25563	AT5G50120	1.0	0.0	1.584962500721156	0.0	0.0	2.0	1.0	0.0	4
18880	19321	19882	20766	25670	AT5G51105	0.0	0.0	1.0	1.584962500721156	1.0	0.0	0.0	1.0	4
18952	19395	19959	20846	25766	AT5G52000	0.0	2.0	2.5849625007211556	1.0	0.0	1.0	0.0	0.0	4
18978	19421	19985	20873	25802	AT5G52330	1.0	0.0	1.0	0.0	0.0	1.0	0.0	1.0	4
19144	19589	20159	21059	26045	AT5G54550	0.0	0.0	1.0	1.584962500721156	1.0	0.0	1.0	0.0	4
19151	19596	20167	21067	26053	AT5G54620	0.0	2.0	1.0	1.0	0.0	1.0	0.0	0.0	4
19208	19654	20226	21127	26123	AT5G55270	1.0	0.0	1.0	0.0	0.0	1.0	1.0	0.0	4
19251	19698	20272	21178	26190	AT5G55893	0.0	1.0	1.584962500721156	0.0	1.584962500721156	0.0	1.0	0.0	4
19260	19707	20281	21187	26199	AT5G55980	0.0	1.0	1.0	0.0	1.0	0.0	1.584962500721156	0.0	4
19300	19749	20326	21233	26260	AT5G56540	1.0	0.0	2.3219280948873617	0.0	0.0	1.584962500721156	0.0	1.0	4
19336	19785	20362	21270	26304	AT5G56970	0.0	0.0	2.3219280948873617	1.584962500721156	2.0	0.0	1.0	0.0	4
19411	19860	20440	21350	26397	AT5G57820	1.584962500721156	0.0	1.0	1.0	0.0	1.0	0.0	0.0	4
19434	19884	20465	21375	26423	AT5G58050	1.0	1.584962500721156	2.3219280948873617	0.0	0.0	1.584962500721156	0.0	0.0	4
19595	20048	20633	21547	26621	AT5G59940	0.0	0.0	2.5849625007211556	2.3219280948873617	0.0	1.0	0.0	2.0	4
19616	20069	20654	21571	26651	AT5G60220	1.584962500721156	0.0	2.0	0.0	2.0	0.0	2.0	0.0	4
19663	20118	20704	21622	26715	AT5G60830	0.0	0.0	1.0	1.584962500721156	1.0	0.0	1.584962500721156	0.0	4
19693	20149	20735	21654	26751	AT5G61180	1.0	0.0	1.584962500721156	0.0	1.0	0.0	1.0	0.0	4
19784	20243	20829	21751	26868	AT5G62310	1.584962500721156	0.0	2.0	0.0	1.584962500721156	1.0	0.0	0.0	4
19891	20353	20942	21868	27001	AT5G63590	2.0	0.0	3.4594316186372973	0.0	2.3219280948873617	0.0	1.0	0.0	4
20017	20479	21073	22003	27142	AT5G64905	2.0	0.0	0.0	1.584962500721156	2.0	0.0	0.0	2.807354922057604	4
20049	20511	21106	22037	27178	AT5G65225	1.0	1.0	0.0	0.0	1.584962500721156	0.0	0.0	1.0	4
20066	20528	21125	22056	27199	AT5G65420	2.0	0.0	3.4594316186372973	0.0	2.3219280948873617	2.3219280948873617	0.0	0.0	4
20194	20660	21259	22193	27342	AT5G66690	2.0	0.0	1.0	0.0	1.0	0.0	2.807354922057604	0.0	4
20218	20686	21287	22224	27381	AT5G67050	1.0	0.0	2.0	0.0	0.0	1.0	0.0	1.584962500721156	4
20219	20687	21288	22225	27382	AT5G67060	0.0	0.0	0.0	5.087462841250339	1.0	1.584962500721156	0.0	5.087462841250339	4
20363	20833	21437	22377	27548	ATMG00180	0.0	2.0	2.0	0.0	2.3219280948873617	0.0	0.0	1.0	4
20378	20849	21456	22398	27594	ATMG00720	0.0	1.0	0.0	0.0	1.0	1.0	0.0	1.0	4
20389	20861	21470	22420	27648	ATMG01320	0.0	1.0	1.0	1.0	0.0	0.0	0.0	2.0	4
