	Unnamed: 0	Genes	SRR3383640	SRR3383821	SRR3383782	SRR6283145	SRR3383641	SRR3383783	SRR3383822	SRR6283144	zero-counter
2246	2598	AT1G26190	7.118941072723508	6.965784284662088	8.204571144249204	7.5774288280357505	8.199672344836364	7.417852514885897	6.569855608330947	7.459431618637298	0
2247	2599	AT1G26200	4.087462841250339	5.1292830169449655	3.4594316186372973	4.0	4.906890595608519	3.700439718141092	4.169925001442312	4.087462841250339	0
2248	2600	AT1G26210	6.807354922057604	6.357552004618085	7.614709844115207	7.8703647195834066	7.794415866350106	6.906890595608518	6.22881869049588	6.6865005271832185	0
2249	2601	AT1G26220	8.679480099505446	8.312882955284357	10.509775004326936	8.562242424221072	9.759888183221834	9.364134655008053	7.826548487290915	7.982993574694309	0
2250	2603	AT1G26230	9.434628227636725	7.768184324776926	10.463524373271179	8.577428828035746	10.604553229079036	9.509775004326936	7.507794640198697	8.405141463136344	0
2252	2607	AT1G26260	6.78135971352466	7.055282435501192	7.554588851677637	7.383704292474053	8.159871336778389	6.754887502163467	5.807354922057604	6.94251450533924	0
2253	2608	AT1G26270	9.748192849589461	9.93810932621924	9.499845887083207	11.6640027628865	11.142107057302553	8.76487159073609	9.047123912114026	11.360847084179664	0
2254	2609	AT1G26290	3.700439718141092	3.584962500721156	1.584962500721156	5.28540221886225	4.700439718141092	1.0	2.584962500721156	2.807354922057604	0
2255	2610	AT1G26300	7.366322214245818	7.86418614465428	7.7073591320808825	7.90086680798075	8.523561956057014	6.845490050944375	7.199672344836364	7.622051819456375	0
2256	2613	AT1G26330	4.321928094887364	3.584962500721156	5.7004397181410935	1.0	4.392317422778762	4.392317422778762	2.584962500721156	2.0	0
2257	2614	AT1G26340	6.539158811108031	6.475733430966398	7.3750394313469245	7.011227255423254	7.459431618637298	6.189824558880018	5.426264754702097	6.599912842187128	0
2259	2618	AT1G26370	7.734709620225838	7.74819284958946	9.14974711950468	8.375039431346924	8.851749041416056	8.271463027904375	7.03342300153745	8.361943773735241	0
2260	2619	AT1G26380	6.0223678130284535	5.807354922057604	6.475733430966398	5.0	7.118941072723508	4.857980995127573	5.459431618637297	7.754887502163467	0
2261	2620	AT1G26390	3.4594316186372973	3.700439718141092	3.9068905956085187	2.584962500721156	2.584962500721156	1.0	4.700439718141092	5.78135971352466	0
2262	2622	AT1G26410	0.0	2.584962500721156	3.0	2.807354922057604	2.3219280948873617	0.0	2.807354922057604	3.807354922057604	2
2263	2623	AT1G26420	6.475733430966398	7.787902559391433	6.129283016944966	4.954196310386875	7.330916878114617	4.0	6.426264754702097	6.845490050944375	0
2264	2624	AT1G26440	8.357552004618084	9.264442600226602	8.679480099505446	7.912889336229964	9.700439718141093	8.108524456778168	8.294620748891628	8.668884984266247	0
2265	2625	AT1G26450	1.0	0.0	2.0	3.584962500721156	1.0	0.0	1.584962500721156	2.0	2
2266	2626	AT1G26460	8.330916878114618	8.991521846075695	9.066089190457774	8.761551232444479	9.152284842306582	8.027905996569885	7.936637939002571	8.422064766172811	0
2267	2627	AT1G26470	6.6865005271832185	6.965784284662088	7.965784284662088	8.154818109052105	7.894817763307944	6.754887502163467	6.3750394313469245	8.0	0
2269	2629	AT1G26500	4.459431618637297	4.584962500721156	6.303780748177103	4.643856189774724	5.754887502163467	5.28540221886225	3.584962500721156	4.087462841250339	0
2270	2630	AT1G26510	0.0	0.0	1.584962500721156	0.0	0.0	1.0	0.0	0.0	6
2271	2632	AT1G26520	6.339850002884624	5.954196310386875	7.531381460516312	6.643856189774724	7.3750394313469245	6.3750394313469245	5.491853096329675	6.339850002884624	0
2272	2633	AT1G26530	1.0	2.3219280948873617	2.807354922057604	3.0	3.807354922057604	1.584962500721156	0.0	3.9068905956085187	1
2273	2634	AT1G26540	3.3219280948873617	2.807354922057604	4.169925001442312	3.3219280948873617	3.700439718141092	3.0	1.584962500721156	1.584962500721156	0
2274	2635	AT1G26550	9.543031820255237	10.059344460824423	10.731319031025064	10.099347810403193	10.671541066711882	9.625708843064468	9.228818690495881	9.943979914343739	0
2275	2636	AT1G26560	8.842350343413807	8.179909090014933	10.788718332690456	5.087462841250339	9.211888294546004	9.422064766172811	7.882643049361842	4.857980995127573	0
2276	2637	AT1G26570	6.643856189774724	6.266786540694902	7.321928094887363	6.3750394313469245	7.0443941193584525	6.0443941193584525	5.78135971352466	5.78135971352466	0
2277	2638	AT1G26580	9.930737337562887	10.00842862207058	10.319672120946997	12.81798292719565	11.242578689451346	9.569855608330947	9.348728154231075	12.99841413658926	0
2278	2639	AT1G26590	1.0	1.584962500721156	0.0	2.584962500721156	2.0	1.0	0.0	0.0	3
2279	2640	AT1G26600	3.0	2.0	3.0	3.9068905956085187	3.0	3.0	3.3219280948873617	3.169925001442312	0
2280	2641	AT1G26610	0.0	2.3219280948873617	1.0	1.584962500721156	2.584962500721156	1.584962500721156	0.0	2.0	2
2281	2642	AT1G26620	7.417852514885897	8.471675214392045	8.43879185257826	8.89178370321831	8.471675214392045	7.700439718141093	7.599912842187128	8.707359132080883	0
2282	2643	AT1G26630	11.683871868622608	12.17367713630342	12.9592775057205	12.424428764037762	12.815783544128188	11.731319031025064	11.433585441150491	12.279320387942608	0
2283	2644	AT1G26640	7.9886846867721655	8.022367813028454	8.810571634741146	8.413627929024173	8.912889336229961	7.7414669864011465	7.451211111832329	7.894817763307944	0
2284	2645	AT1G26650	7.539158811108031	7.936637939002571	8.710806433699354	6.977279923499918	8.515699838284043	7.700439718141093	7.357552004618085	6.614709844115208	0
2285	2646	AT1G26660	5.832890014164741	5.807354922057604	6.459431618637298	7.546894459887638	6.7414669864011465	5.1292830169449655	5.20945336562895	7.636624620543648	0
2286	2647	AT1G26665	8.668884984266247	5.672425341971495	9.368506461507694	11.051888655905378	9.515699838284043	8.515699838284043	4.700439718141092	11.103287808412023	0
